# Ebin    rho(Ebin)
3.97157  0.869709
3.9758  0.869961
3.97677  0.870019
3.98119  0.870286
3.99008  0.870831
3.99021  0.870839
3.99652  0.871233
4.00864  0.872004
4.01084  0.872147
4.03145  0.873507
4.0365  0.873848
4.03801  0.87395
4.04527  0.874447
4.0651  0.875828
4.07891  0.876812
4.08282  0.877093
4.08879  0.877525
4.09281  0.877818
4.09675  0.878105
4.10016  0.878356
4.1014  0.878446
4.10283  0.878552
4.11751  0.879639
4.12429  0.880145
4.12544  0.88023
4.12826  0.880442
4.1327  0.880776
4.13276  0.88078
4.14352  0.881592
4.14749  0.881894
4.15335  0.88234
4.16217  0.883012
4.16423  0.88317
4.16846  0.883494
4.18324  0.884628
4.18669  0.884895
4.18749  0.884956
4.19651  0.885652
4.1972  0.885705
4.21911  0.887399
4.22074  0.887525
4.22124  0.887564
4.22347  0.887737
4.23199  0.888397
4.23645  0.888742
4.24079  0.889077
4.24572  0.889458
4.24799  0.889634
4.26197  0.890714
4.26466  0.890922
4.26491  0.890941
4.2652  0.890964
4.27161  0.891457
4.27966  0.892077
4.28186  0.892246
4.28269  0.89231
4.28305  0.892338
4.28313  0.892344
4.28331  0.892357
4.2852  0.892502
4.28527  0.892508
4.28547  0.892524
4.28996  0.892868
4.29278  0.893084
4.30448  0.893978
4.30451  0.89398
4.31194  0.894546
4.32292  0.89538
4.32998  0.895914
4.34874  0.897324
4.35372  0.897696
4.35468  0.897768
4.35627  0.897886
4.37502  0.899275
4.37822  0.899512
4.38097  0.899714
4.39119  0.900462
4.39275  0.900575
4.40071  0.901155
4.40107  0.901181
4.40304  0.901323
4.41811  0.902409
4.42404  0.902833
4.4249  0.902894
4.43291  0.903463
4.43497  0.903609
4.4426  0.904148
4.44305  0.90418
4.44669  0.904435
4.45363  0.90492
4.45601  0.905086
4.45918  0.905307
4.46186  0.905492
4.46652  0.905815
4.48321  0.906958
4.48542  0.907108
4.48939  0.907378
4.50898  0.908691
4.51088  0.908817
4.51687  0.909213
4.52792  0.909938
4.53208  0.910209
4.53768  0.910572
4.54112  0.910794
4.54122  0.9108
4.54949  0.91133
4.55418  0.911629
4.55419  0.911629
4.55669  0.911788
4.56149  0.912091
4.56255  0.912157
4.5673  0.912456
4.57075  0.912671
4.57307  0.912816
4.58692  0.91367
4.58762  0.913712
4.58825  0.913751
4.59139  0.913943
4.5916  0.913956
4.59831  0.914362
4.60473  0.914748
4.60814  0.914952
4.60866  0.914983
4.61032  0.915081
4.63645  0.916609
4.6435  0.917011
4.64805  0.917269
4.65566  0.917696
4.65839  0.917848
4.6616  0.918026
4.66511  0.91822
4.66595  0.918266
4.69292  0.919716
4.70146  0.920162
4.70235  0.920208
4.71229  0.920717
4.71283  0.920745
4.71775  0.920993
4.72383  0.921297
4.72402  0.921306
4.72475  0.921342
4.73374  0.921783
4.73409  0.921801
4.73467  0.921829
4.73776  0.921978
4.74135  0.922151
4.74246  0.922204
4.74406  0.92228
4.74534  0.922341
4.74821  0.922476
4.75717  0.922895
4.7598  0.923016
4.76194  0.923114
4.76231  0.923131
4.76267  0.923147
4.76352  0.923186
4.77203  0.92357
4.77735  0.923805
4.77996  0.92392
4.78329  0.924065
4.78582  0.924174
4.79086  0.92439
